ID,Place (x),Knowledge (y),Action (z),K5Name
3221,-0.291,0.109,-0.291,Small Green Steps
3253,-0.212,0.034,-0.114,Small Green Steps
3254,-0.24,-0.103,-0.213,Small Green Steps
3256,-0.255,0,-0.24,Small Green Steps
3306,0.051,-0.253,-0.294,Small Green Steps
3311,-0.309,-0.166,-0.422,Small Green Steps
3312,-0.407,-0.052,-0.262,Small Green Steps
3324,-0.374,-0.197,-0.303,Small Green Steps
3349,-0.261,-0.251,-0.266,Small Green Steps
3354,-0.214,0.168,-0.189,Small Green Steps
3359,-0.251,0.054,-0.097,Small Green Steps
3366,-0.529,-0.032,-0.042,Small Green Steps
3386,-0.271,0,-0.292,Small Green Steps
3402,-0.714,0.139,-0.196,Small Green Steps
3455,-0.08,-0.055,-0.35,Small Green Steps
3461,-0.249,-0.145,-0.55,Small Green Steps
3464,-0.076,0.149,-0.174,Small Green Steps
3466,-0.339,0.35,-0.48,Small Green Steps
3468,-0.197,-0.078,-0.265,Small Green Steps
3475,-0.232,-0.058,-0.149,Small Green Steps
3479,-0.212,-0.038,-0.474,Small Green Steps
3480,0.001,0.105,-0.282,Small Green Steps
3481,-0.093,0,-0.165,Small Green Steps
3482,-0.071,0.087,-0.171,Small Green Steps
3487,-0.048,-0.052,-0.171,Small Green Steps
3501,-0.08,-0.063,-0.262,Small Green Steps
3503,-0.054,-0.022,-0.113,Small Green Steps
3507,-0.051,0.133,-0.306,Small Green Steps
3508,0.136,0.025,-0.2,Small Green Steps
3523,-0.616,-0.061,-0.101,Small Green Steps
3524,-0.563,-0.246,-0.27,Small Green Steps
3525,0.351,0.228,-0.293,Small Green Steps
3531,0.085,-0.023,-0.296,Small Green Steps
3532,0.156,-0.006,-0.155,Small Green Steps
3536,-0.203,0.047,-0.205,Small Green Steps
3544,-0.008,0.179,-0.2,Small Green Steps
3545,-0.059,-0.09,-0.126,Small Green Steps
3551,-0.265,-0.236,-0.558,Small Green Steps
3554,-0.317,-0.05,-0.36,Small Green Steps
3555,-0.269,-0.218,-0.557,Small Green Steps
3570,-0.42,-0.038,-0.08,Small Green Steps
3576,-0.571,-0.212,-0.227,Small Green Steps
3593,-0.328,-0.001,-0.102,Small Green Steps
3606,-0.029,-0.001,-0.01,Small Green Steps
3618,-0.115,0.047,-0.186,Small Green Steps
3622,-0.206,0.034,-0.128,Small Green Steps
3633,0.246,0.178,-0.285,Small Green Steps
3635,-0.448,-0.321,-0.391,Small Green Steps
3644,0.252,0.159,-0.248,Small Green Steps
3656,-0.093,0.03,-0.056,Small Green Steps
3665,-0.273,-0.041,-0.054,Small Green Steps
3688,-0.264,-0.327,-0.504,Small Green Steps
3713,-0.416,-0.056,-0.349,Small Green Steps
3726,-0.208,0.03,-0.304,Small Green Steps
3765,-0.515,-0.158,-0.357,Small Green Steps
3768,-0.275,0.064,-0.089,Small Green Steps
3775,-0.195,-0.108,-0.225,Small Green Steps
3778,0.013,0.278,-0.304,Small Green Steps
3811,-0.223,-0.182,-0.238,Small Green Steps
3813,-0.248,-0.32,-0.376,Small Green Steps
3841,-0.153,0.075,-0.167,Small Green Steps
3842,-0.576,-0.222,-0.253,Small Green Steps
3843,-0.394,-0.001,-0.356,Small Green Steps
3854,-0.198,0.061,-0.345,Small Green Steps
3964,-0.326,0.188,-0.275,Small Green Steps
4022,-0.44,-0.199,-0.269,Small Green Steps
4042,-0.422,-0.057,-0.116,Small Green Steps
4044,-0.184,0.174,-0.19,Small Green Steps
4047,-0.184,0.07,-0.281,Small Green Steps
4057,0.003,-0.218,-0.235,Small Green Steps
4063,-0.45,-0.304,-0.399,Small Green Steps
4064,-0.221,-0.051,-0.244,Small Green Steps
4065,-0.103,-0.303,-0.31,Small Green Steps
4067,-0.121,-0.076,-0.302,Small Green Steps
4074,-0.453,-0.017,-0.439,Small Green Steps
4075,-0.337,-0.123,-0.384,Small Green Steps
4097,-0.327,0.335,-0.345,Small Green Steps
4148,-0.443,-0.304,-0.338,Small Green Steps
4177,-0.173,0,-0.12,Small Green Steps
4184,-0.424,-0.155,-0.354,Small Green Steps
4186,-0.018,-0.036,-0.179,Small Green Steps
4188,-0.45,-0.267,-0.297,Small Green Steps
4190,-0.291,-0.047,-0.051,Small Green Steps
4199,-0.037,-0.088,-0.203,Small Green Steps
4232,-0.445,0.132,-0.228,Small Green Steps
4240,-0.193,-0.021,-0.068,Small Green Steps
4252,-0.085,0.071,-0.283,Small Green Steps
4253,-0.125,0.03,-0.093,Small Green Steps
4282,0.019,-0.05,-0.066,Small Green Steps
4292,-0.34,-0.013,-0.428,Small Green Steps
4325,-0.53,-0.019,-0.319,Small Green Steps
4339,-0.519,0.133,-0.198,Small Green Steps
4340,-0.571,-0.165,-0.314,Small Green Steps
4348,-0.389,-0.111,-0.191,Small Green Steps
4354,-0.203,0.15,-0.387,Small Green Steps
4357,-0.121,0.003,-0.098,Small Green Steps
4358,-0.356,0.043,-0.247,Small Green Steps
4375,-0.371,0.148,-0.342,Small Green Steps
4388,-0.416,-0.076,-0.383,Small Green Steps
4396,-0.452,-0.069,-0.286,Small Green Steps
4408,-0.093,0.089,-0.5,Small Green Steps
4426,-0.122,-0.088,-0.363,Small Green Steps
4451,-0.251,0.153,-0.365,Small Green Steps
4455,-0.187,-0.088,-0.224,Small Green Steps
4494,-0.475,0.11,-0.175,Small Green Steps
4508,-0.017,-0.192,-0.389,Small Green Steps
4509,0.261,0.012,-0.262,Small Green Steps
4510,-0.025,0.002,-0.13,Small Green Steps
4512,-0.093,0,-0.115,Small Green Steps
4513,-0.177,-0.073,-0.308,Small Green Steps
4523,-0.203,0.118,-0.425,Small Green Steps
4525,-0.273,0.075,-0.362,Small Green Steps
4526,-0.579,-0.386,-0.444,Small Green Steps
4530,-0.129,0.182,-0.318,Small Green Steps
4554,-0.265,-0.117,-0.337,Small Green Steps
4581,-0.565,-0.142,-0.159,Small Green Steps
4595,-0.141,0.061,-0.264,Small Green Steps
4619,-0.46,-0.025,-0.092,Small Green Steps
4624,-0.278,-0.003,-0.252,Small Green Steps
4625,-0.481,0.166,-0.925,Small Green Steps
4626,0.243,0.069,-0.264,Small Green Steps
4627,-0.412,0.098,-0.127,Small Green Steps
4635,-0.073,-0.026,-0.143,Small Green Steps
4681,-0.086,0.107,-0.22,Small Green Steps
4692,-0.051,-0.029,-0.275,Small Green Steps
4693,-0.051,-0.029,-0.275,Small Green Steps
4722,-0.035,-0.001,-0.262,Small Green Steps
4738,0.298,0.056,-0.268,Small Green Steps
4739,-0.653,0.116,-0.188,Small Green Steps
4742,-0.248,0.099,-0.115,Small Green Steps
4750,0.126,-0.013,-0.132,Small Green Steps
4753,-0.353,-0.016,-0.02,Small Green Steps
4770,-0.314,-0.037,-0.224,Small Green Steps
4778,0.02,-0.09,-0.098,Small Green Steps
4789,-0.22,0.049,-0.116,Small Green Steps
4804,-0.614,-0.182,-0.316,Small Green Steps
4806,-0.502,0.243,-0.269,Small Green Steps
4808,-0.076,0.152,-0.18,Small Green Steps
4816,-0.098,-0.086,-0.199,Small Green Steps
4817,0.051,0.155,-0.262,Small Green Steps
4819,-0.338,0.066,-0.185,Small Green Steps
4821,-0.324,-0.159,-0.576,Small Green Steps
4869,-0.405,-0.27,-0.467,Small Green Steps
4874,-0.039,0.167,-0.274,Small Green Steps
4876,-0.332,0.183,-0.283,Small Green Steps
4890,-0.208,0.048,-0.421,Small Green Steps
4900,-0.198,-0.113,-0.164,Small Green Steps
4908,-0.055,-0.04,-0.447,Small Green Steps
4917,-0.317,-0.047,-0.075,Small Green Steps
4928,-0.04,0.067,-0.173,Small Green Steps
4950,-0.238,-0.002,-0.222,Small Green Steps
4951,0.245,0.179,-0.235,Small Green Steps
4961,-0.327,-0.014,-0.144,Small Green Steps
4963,-0.089,-0.267,-0.31,Small Green Steps
4979,-0.058,-0.002,-0.049,Small Green Steps
4980,-0.072,-0.029,-0.33,Small Green Steps
4982,-0.068,-0.029,-0.111,Small Green Steps
4985,-0.224,0.032,-0.076,Small Green Steps
4990,-0.025,0.006,-0.031,Small Green Steps
4996,-0.272,0.097,-0.157,Small Green Steps
5004,-0.367,0.086,-0.095,Small Green Steps
5008,0.005,0.094,-0.216,Small Green Steps
5015,-0.202,0.004,-0.018,Small Green Steps
5017,-0.158,-0.117,-0.12,Small Green Steps
5024,0.088,-0.002,-0.201,Small Green Steps
5025,-0.202,0.1,-0.39,Small Green Steps
5028,-0.41,0.032,-0.102,Small Green Steps
5031,-0.443,-0.31,-0.448,Small Green Steps
5036,-0.173,-0.174,-0.539,Small Green Steps
5050,-0.01,0.066,-0.31,Small Green Steps
