ID,Place (x),Knowledge (y),Action (z),K5Name
3782,-0.598,-0.042,0.224,Earth Justice
3791,-0.146,-0.176,0.276,Earth Justice
3819,-0.595,-0.391,0.629,Earth Justice
3831,-0.526,-0.378,0.623,Earth Justice
3836,-0.385,0.049,0.309,Earth Justice
3838,-0.217,-0.059,0.358,Earth Justice
3840,-0.098,-0.32,1,Earth Justice
3844,-0.179,0.106,0.235,Earth Justice
3846,-0.206,-0.039,0.421,Earth Justice
3847,-0.24,-0.004,0.527,Earth Justice
3852,-0.279,-0.011,0.696,Earth Justice
3858,-0.383,-0.069,0.338,Earth Justice
3900,-0.473,0.033,0.424,Earth Justice
3959,-0.339,0.308,0.672,Earth Justice
3987,-0.338,0.024,0.029,Earth Justice
4001,-0.362,0.277,0.718,Earth Justice
4012,-0.6,-0.122,0.317,Earth Justice
4013,-0.366,0.021,0.173,Earth Justice
4029,-0.389,-0.448,0.532,Earth Justice
4035,-0.437,-0.1,0.435,Earth Justice
4037,-0.255,-0.113,0.821,Earth Justice
4048,-0.169,-0.335,0.353,Earth Justice
4049,-0.225,-0.314,0.577,Earth Justice
4053,-0.515,0.347,0.375,Earth Justice
4054,-0.575,-0.03,0.473,Earth Justice
4056,-0.092,-0.088,0.241,Earth Justice
4059,0.066,-0.193,0.193,Earth Justice
4060,-0.402,0.156,0.539,Earth Justice
4068,-0.78,-0.389,0.683,Earth Justice
4071,-0.313,-0.172,0.384,Earth Justice
4073,-0.407,-0.076,0.449,Earth Justice
4090,-0.34,-0.241,0.353,Earth Justice
4099,-0.295,0.11,0.33,Earth Justice
4114,-0.407,-0.076,0.449,Earth Justice
4183,-0.331,-0.263,0.73,Earth Justice
4210,-0.574,0.221,0.382,Earth Justice
4225,-0.269,-0.233,0.643,Earth Justice
4227,-0.538,-0.175,0.427,Earth Justice
4234,-0.467,0.349,0.49,Earth Justice
4237,-0.504,0.128,0.699,Earth Justice
4238,-0.222,0.071,0.385,Earth Justice
4242,-0.354,0.068,0.35,Earth Justice
4261,-0.309,0.089,0.161,Earth Justice
4266,-0.684,0.11,0.203,Earth Justice
4293,-0.447,-0.022,0.275,Earth Justice
4298,-0.178,-0.145,0.737,Earth Justice
4300,-0.4,0.058,0.278,Earth Justice
4315,-0.798,-0.007,0.396,Earth Justice
4329,-0.163,0.025,0.161,Earth Justice
4330,-0.717,0.16,0.487,Earth Justice
4331,-0.269,-0.428,0.558,Earth Justice
4342,-0.131,0.066,0.086,Earth Justice
4345,-0.131,0.066,0.086,Earth Justice
4360,-0.137,0.014,0.152,Earth Justice
4362,-0.362,-0.069,0.164,Earth Justice
4363,-0.397,-0.231,0.471,Earth Justice
4376,-0.294,0.052,0.452,Earth Justice
4380,-0.053,-0.197,0.513,Earth Justice
4391,0.029,-0.142,0.399,Earth Justice
4392,-0.39,0.172,0.408,Earth Justice
4393,-0.339,0.18,0.384,Earth Justice
4398,-0.548,0.183,0.458,Earth Justice
4402,-0.608,-0.417,0.565,Earth Justice
4404,-0.615,0.005,0.737,Earth Justice
4405,-0.071,-0.013,0.273,Earth Justice
4406,-0.479,-0.036,0.095,Earth Justice
4413,-0.418,-0.153,0.496,Earth Justice
4416,-0.228,-0.204,0.214,Earth Justice
4433,-0.229,0.023,0.082,Earth Justice
4437,-0.277,0.115,0.146,Earth Justice
4450,0.118,-0.32,0.401,Earth Justice
4457,-0.213,-0.264,0.409,Earth Justice
4487,-0.399,0.143,0.22,Earth Justice
4495,-0.562,0.197,0.525,Earth Justice
4497,-0.228,-0.185,0.328,Earth Justice
4504,0,0,0,Earth Justice
4506,-0.713,0.15,0.382,Earth Justice
4515,-0.262,-0.036,0.106,Earth Justice
4522,-0.3,-0.01,0.014,Earth Justice
4535,-0.174,-0.33,0.775,Earth Justice
4540,-0.512,-0.269,0.527,Earth Justice
4592,0.077,-0.107,0.44,Earth Justice
4594,-0.205,-0.092,0.193,Earth Justice
4600,-0.207,0.021,0.088,Earth Justice
4618,-0.151,0.018,0.19,Earth Justice
4670,-0.173,0.054,0.302,Earth Justice
4672,0,-0.108,0.189,Earth Justice
4736,-0.422,0.078,0.256,Earth Justice
4737,-0.14,-0.363,0.752,Earth Justice
4752,-0.329,-0.145,0.234,Earth Justice
4757,-0.284,-0.196,0.312,Earth Justice
4759,-0.033,-0.105,0.199,Earth Justice
4764,-0.625,-0.084,0.468,Earth Justice
4765,-0.363,-0.201,0.524,Earth Justice
4771,-0.236,-0.376,0.729,Earth Justice
4775,-0.531,-0.113,0.291,Earth Justice
4800,-0.43,-0.39,0.614,Earth Justice
4810,-0.398,0.392,0.413,Earth Justice
4820,-0.527,0.143,0.189,Earth Justice
4839,-0.461,-0.061,0.319,Earth Justice
4858,0,0,0,Earth Justice
4859,-0.407,-0.353,0.826,Earth Justice
4866,-0.237,-0.127,0.405,Earth Justice
4870,-0.091,-0.005,0.259,Earth Justice
4886,-0.222,0.058,0.219,Earth Justice
4902,-0.313,-0.083,0.144,Earth Justice
4911,-0.013,-0.272,0.481,Earth Justice
4912,-0.438,-0.248,0.618,Earth Justice
4921,-0.173,-0.169,0.18,Earth Justice
4931,-0.298,0.035,0.29,Earth Justice
4932,-0.065,0.007,0.163,Earth Justice
4935,-0.472,-0.09,0.317,Earth Justice
4936,-0.542,-0.053,0.292,Earth Justice
4942,-0.162,0.104,0.322,Earth Justice
4952,-0.16,0.153,0.214,Earth Justice
4955,-0.267,0.066,0.154,Earth Justice
4976,-0.185,-0.103,0.117,Earth Justice
4981,-0.099,0.003,0.318,Earth Justice
4983,-0.069,0.005,0.302,Earth Justice
4991,-0.084,-0.127,0.237,Earth Justice
4995,-0.49,0.251,0.662,Earth Justice
4998,-0.443,-0.092,0.581,Earth Justice
5006,-0.334,0.081,0.102,Earth Justice
5009,0,0,0,Earth Justice
5010,-0.068,-0.088,0.088,Earth Justice
5012,-0.105,0,0,Earth Justice
5018,-0.042,-0.084,0.166,Earth Justice
5020,0,0,0,Earth Justice
5026,-0.459,0.161,0.793,Earth Justice
5032,-0.585,-0.259,0.614,Earth Justice
5033,-0.585,-0.259,0.614,Earth Justice
5035,-0.581,-0.255,0.602,Earth Justice
5037,-0.395,0.031,0.716,Earth Justice
5039,-0.486,-0.08,0.443,Earth Justice
5040,-0.489,-0.048,0.207,Earth Justice
5044,-0.239,0.152,0.427,Earth Justice
3251,-0.349,0.771,0.081,Ecoscience
3255,-0.318,0.298,0.153,Ecoscience
3286,-0.313,0.255,-0.011,Ecoscience
3297,-0.386,0.458,-0.063,Ecoscience
3307,-0.596,0.04,0.008,Ecoscience
3315,-0.574,0.306,0.144,Ecoscience
3363,-0.021,0.548,-0.207,Ecoscience
3373,-0.324,0.223,0.179,Ecoscience
3388,-0.287,0.296,0.27,Ecoscience
3401,-0.114,0.164,-0.053,Ecoscience
3414,-0.338,0.25,-0.036,Ecoscience
3439,-0.617,0.708,0.182,Ecoscience
3444,-0.122,0.369,-0.14,Ecoscience
3457,-0.353,0.197,-0.168,Ecoscience
3458,0.076,0.23,-0.093,Ecoscience
3467,-0.319,0.126,0.011,Ecoscience
3476,-0.396,0.435,0.246,Ecoscience
3500,-0.22,0.302,-0.257,Ecoscience
3537,-0.283,0.291,-0.244,Ecoscience
3539,-0.543,0.229,-0.021,Ecoscience
3540,-0.141,0.299,0.003,Ecoscience
3546,-0.366,0.32,0.273,Ecoscience
3550,0.024,0.351,-0.161,Ecoscience
3558,-0.273,0.274,0.265,Ecoscience
3569,-0.236,0.068,-0.041,Ecoscience
3578,-0.385,0.496,-0.451,Ecoscience
3583,-0.44,0.733,0.114,Ecoscience
3594,-0.328,0.117,0.074,Ecoscience
3596,-0.703,0.094,-0.072,Ecoscience
3625,-0.255,0.151,-0.133,Ecoscience
3645,-0.093,0.481,-0.382,Ecoscience
3647,-0.93,0.31,-0.154,Ecoscience
3658,-0.483,0.225,0.204,Ecoscience
3662,-0.237,0.277,-0.065,Ecoscience
3663,-0.66,0.583,0.438,Ecoscience
3674,-0.239,0.376,-0.012,Ecoscience
3690,-0.391,0.266,0.132,Ecoscience
3708,-0.321,0.305,0.17,Ecoscience
3724,-0.279,0.263,0.153,Ecoscience
3735,-0.604,0.255,0.043,Ecoscience
3766,-0.343,0.307,-0.048,Ecoscience
3770,-0.447,0.137,-0.123,Ecoscience
3845,-0.096,0.127,0.048,Ecoscience
3921,-0.202,0.266,0.182,Ecoscience
3977,-0.494,0.468,0.431,Ecoscience
3986,-0.593,0.229,-0.002,Ecoscience
4025,-0.232,0.484,-0.229,Ecoscience
4062,-0.335,0.22,-0.055,Ecoscience
4069,-0.403,0.208,-0.119,Ecoscience
4178,-0.71,0.424,0.308,Ecoscience
4187,-0.097,0.193,-0.042,Ecoscience
4219,-0.73,0.371,0.182,Ecoscience
4228,-0.802,0.539,-0.071,Ecoscience
4231,-0.31,0.274,0.038,Ecoscience
4250,-0.31,0.254,0.191,Ecoscience
4291,0.063,0.216,-0.144,Ecoscience
4296,-0.033,0.054,0.006,Ecoscience
4369,-0.181,0.704,-0.104,Ecoscience
4381,-0.471,0.516,0.181,Ecoscience
4387,-0.391,0.348,0.098,Ecoscience
4421,-0.31,0.19,-0.002,Ecoscience
4436,-0.376,0.183,-0.03,Ecoscience
4448,0.057,0.295,-0.129,Ecoscience
4456,-0.289,0.205,0.013,Ecoscience
4466,-0.202,0.203,0.199,Ecoscience
4476,-0.006,0.11,-0.083,Ecoscience
4485,-0.456,0.285,0.053,Ecoscience
4488,-0.104,0.054,-0.028,Ecoscience
4491,0.014,0.181,-0.099,Ecoscience
4603,-0.511,0.119,0.073,Ecoscience
4606,-0.116,0.266,-0.046,Ecoscience
4617,-0.585,0.083,0.07,Ecoscience
4620,-0.244,0.189,0.002,Ecoscience
4666,-0.243,0.583,0.059,Ecoscience
4683,-0.172,0.127,-0.009,Ecoscience
4696,0.033,0.358,-0.265,Ecoscience
4700,-0.369,0.134,0.124,Ecoscience
4728,0.103,0.425,-0.181,Ecoscience
4730,-0.188,0.242,-0.103,Ecoscience
4746,-0.507,0.087,0.01,Ecoscience
4776,-0.181,0.22,0.124,Ecoscience
4801,-0.284,0.365,0.209,Ecoscience
4803,-0.247,0.202,-0.14,Ecoscience
4805,-0.032,0.052,-0.034,Ecoscience
4807,-0.019,0.103,-0.006,Ecoscience
4812,-0.016,0.281,-0.251,Ecoscience
4827,-0.282,0.374,0.156,Ecoscience
4867,-0.098,0.173,0.07,Ecoscience
4868,-0.14,0.106,-0.083,Ecoscience
4873,-0.206,0.481,0.162,Ecoscience
4878,-0.189,0.267,-0.237,Ecoscience
4923,-0.064,0.281,-0.051,Ecoscience
4941,0.06,0.316,-0.173,Ecoscience
4943,-0.231,0.318,0.092,Ecoscience
4946,-0.108,0.15,0.067,Ecoscience
4947,-0.13,0.401,-0.053,Ecoscience
4948,0.049,0.176,-0.104,Ecoscience
4958,-0.173,0.053,-0.002,Ecoscience
4962,-0.138,0.39,-0.254,Ecoscience
4968,-0.261,0.166,-0.022,Ecoscience
4977,-0.09,0.049,0.032,Ecoscience
4997,-0.35,0.204,0.186,Ecoscience
5007,-0.172,0.137,-0.025,Ecoscience
5014,-0.177,0.214,-0.14,Ecoscience
5019,-0.307,0.08,0.01,Ecoscience
5042,-0.24,0.051,0.048,Ecoscience
5045,-0.311,0.173,-0.12,Ecoscience
3212,-0.146,-0.258,0.179,Ecospirituality
3228,-0.35,-0.524,-0.138,Ecospirituality
3229,-0.316,-0.322,0.3,Ecospirituality
3243,-0.191,-0.477,0.065,Ecospirituality
3252,-0.468,-0.14,-0.054,Ecospirituality
3257,-0.124,-0.114,0.109,Ecospirituality
3280,0.14,-0.304,0.157,Ecospirituality
3282,0.08,-0.549,0.396,Ecospirituality
3283,-0.092,-0.279,-0.25,Ecospirituality
3301,-0.38,-0.214,0.121,Ecospirituality
3303,-0.183,-0.252,-0.195,Ecospirituality
3308,-0.233,-0.549,0.463,Ecospirituality
3309,-0.233,-0.224,0.194,Ecospirituality
3310,-0.241,-0.618,-0.021,Ecospirituality
3316,-0.53,-0.392,0.247,Ecospirituality
3321,-0.688,-0.165,-0.061,Ecospirituality
3326,-0.79,-0.455,0.03,Ecospirituality
3328,-0.268,-0.633,0.447,Ecospirituality
3331,-0.49,-0.147,0.057,Ecospirituality
3333,0.1,-0.154,0.046,Ecospirituality
3335,-0.168,-0.127,0.002,Ecospirituality
3336,-0.435,-0.315,-0.206,Ecospirituality
3341,-0.809,-0.453,0.43,Ecospirituality
3346,-0.413,-0.399,-0.032,Ecospirituality
3356,-0.225,-0.23,0.179,Ecospirituality
3389,-0.255,-0.353,-0.113,Ecospirituality
3422,-0.57,-0.28,-0.153,Ecospirituality
3442,-0.245,-0.282,-0.006,Ecospirituality
3443,-0.31,-0.137,-0.091,Ecospirituality
3452,-0.062,-0.069,-0.038,Ecospirituality
3453,-0.007,-0.04,0.024,Ecospirituality
3456,-0.221,-0.265,-0.241,Ecospirituality
