ID,Place (x),Knowledge (y),Action (z),K5Name
3207,0.117,0.041,-0.023,Science Policy
3227,-0.105,0.246,0.473,Science Policy
3232,-0.183,0.239,0.188,Science Policy
3249,0.104,-0.042,0.876,Science Policy
3293,0.215,0.206,0.031,Science Policy
3295,0.333,0.748,-0.1,Science Policy
3300,-0.023,0.085,0.282,Science Policy
3305,-0.08,0.199,0.384,Science Policy
3338,-0.03,0.201,0.07,Science Policy
3342,-0.062,0.377,0.192,Science Policy
3344,0.13,0.181,0.431,Science Policy
3345,-0.01,0.269,0.384,Science Policy
3347,0.136,0.304,0.226,Science Policy
3355,-0.244,0.341,0.37,Science Policy
3358,-0.056,0.248,0.482,Science Policy
3360,0.119,0.506,0.196,Science Policy
3362,-0.096,0.485,0.288,Science Policy
3390,0.34,0.095,0.294,Science Policy
3391,-0.014,0.306,0.186,Science Policy
3394,-0.004,0.17,0.252,Science Policy
3403,0.488,0.503,0.613,Science Policy
3409,0.153,0.841,0.082,Science Policy
3429,0.292,0.682,0.465,Science Policy
3434,-0.027,0.685,0.651,Science Policy
3446,-0.131,0.225,0.41,Science Policy
3454,0.073,0.287,0.06,Science Policy
3473,-0.344,0.414,0.697,Science Policy
3474,0.194,0.085,-0.138,Science Policy
3483,0.23,-0.003,0.025,Science Policy
3488,-0.038,0.114,0.411,Science Policy
3489,0.005,0.164,0.033,Science Policy
3512,-0.112,0.212,0.385,Science Policy
3516,0.142,0.478,0.044,Science Policy
3528,0.183,-0.179,0.688,Science Policy
3535,-0.244,0.416,0.633,Science Policy
3549,-0.146,0.285,0.306,Science Policy
3563,0.305,0.595,0.473,Science Policy
3575,-0.033,0.261,0.083,Science Policy
3582,0.022,0.121,0.223,Science Policy
3590,0.021,0.192,0.32,Science Policy
3592,-0.206,0.598,0.584,Science Policy
3598,-0.085,0.288,0.107,Science Policy
3611,-0.214,0.28,0.446,Science Policy
3616,-0.077,0.408,0.097,Science Policy
3643,-0.159,0.174,0.464,Science Policy
3731,-0.269,0.31,0.386,Science Policy
3757,-0.062,0.179,0.542,Science Policy
3759,-0.188,0.196,0.387,Science Policy
3830,0.116,0.287,0.022,Science Policy
3871,-0.243,0.494,0.343,Science Policy
3901,-0.176,0.46,0.476,Science Policy
3998,0.079,0.246,0.829,Science Policy
4040,-0.2,0.337,0.576,Science Policy
4041,-0.246,0.32,0.609,Science Policy
4050,-0.284,0.378,0.638,Science Policy
4051,0.034,0.329,0.542,Science Policy
4061,-0.128,0.185,0.152,Science Policy
4077,0.022,0.456,0.426,Science Policy
4121,0.291,0.283,-0.145,Science Policy
4149,0.025,0.029,0.123,Science Policy
4189,0.182,0.425,0.11,Science Policy
4201,-0.001,0.25,0.394,Science Policy
4203,0.201,0.574,0.354,Science Policy
4213,0.346,0.382,0.351,Science Policy
4235,-0.071,0.52,0.472,Science Policy
4243,0.174,0.515,0.04,Science Policy
4245,0.033,0.092,0.273,Science Policy
4272,-0.032,0.076,0.308,Science Policy
4332,0.049,0.076,0.025,Science Policy
4334,-0.259,0.489,0.577,Science Policy
4350,0.048,0.242,0.425,Science Policy
4352,0.01,0.31,0.104,Science Policy
4378,-0.014,0.633,0.433,Science Policy
4382,0.453,0.208,-0.036,Science Policy
4384,0.016,0.689,0.454,Science Policy
4386,0.236,0.222,0.636,Science Policy
4395,0.423,0.193,-0.172,Science Policy
4418,-0.165,0.207,0.293,Science Policy
4429,0.129,0.566,0.955,Science Policy
4446,-0.065,0.086,0.228,Science Policy
4472,0.033,0.142,0.037,Science Policy
4478,0.181,-0.162,0.469,Science Policy
4479,0.159,-0.027,0.447,Science Policy
4507,-0.244,0.302,0.523,Science Policy
4516,-0.025,0.042,0.074,Science Policy
4531,0.419,0.032,0.245,Science Policy
4628,0.196,0.094,0.231,Science Policy
4656,0.22,0.274,0.42,Science Policy
4677,-0.296,0.418,0.787,Science Policy
4682,0.154,0.391,-0.12,Science Policy
4711,0.181,0.617,0.522,Science Policy
4721,0.404,0.484,-0.127,Science Policy
4744,0.107,0.092,-0.098,Science Policy
4748,0.04,0.076,0.242,Science Policy
4749,-0.023,0.123,0.366,Science Policy
4754,0.061,0.662,0.203,Science Policy
4756,0.035,0.068,0.102,Science Policy
4824,0.082,0.296,-0.052,Science Policy
4828,-0.206,0.545,0.295,Science Policy
4864,0.056,0.017,0.215,Science Policy
4865,0.153,0.207,-0.061,Science Policy
4880,0.057,0.111,0.083,Science Policy
4881,-0.21,0.447,0.264,Science Policy
4884,0.102,0.245,0.065,Science Policy
4901,0.115,0.02,0.229,Science Policy
4903,0.277,0.072,0.245,Science Policy
4906,0.115,0.02,0.229,Science Policy
4910,-0.063,0.11,0.253,Science Policy
4916,-0.029,0.216,0.054,Science Policy
4918,0.123,0.233,0.008,Science Policy
4937,0.061,-0.058,0.066,Science Policy
4938,0.038,0.265,0.078,Science Policy
4939,0.061,0,0.108,Science Policy
4940,0.403,0.199,0.063,Science Policy
4949,0.146,0.101,0.382,Science Policy
4953,0.03,0.219,0.3,Science Policy
4954,0.139,-0.028,0.049,Science Policy
4956,0.016,0.287,0.187,Science Policy
4966,-0.197,0.302,0.464,Science Policy
4992,-0.011,0.05,0.203,Science Policy
5003,0.055,0.086,-0.053,Science Policy
5005,0.306,0.372,-0.061,Science Policy
5021,0.032,0.398,-0.029,Science Policy
5023,0.084,0,0,Science Policy
5027,-0.517,0.628,0.642,Science Policy
5034,0.104,0.092,0.469,Science Policy
5051,-0.052,0.123,0.419,Science Policy
